<<<<<<< HEAD
2.2 , 4.2
3.1 , 5.1
1.2 , 3.2
44.2 , 46.2
21.7 , 23.7
34.2 , 36.2
21.4 , 23.4
6.44 , 8.44
8.9 , 10.9
14.2 , 16.2
26.8 , 28.8
34.7 , 36.7
1.2 , 3.2
2.7 , 4.7
17.0 , 19.0
29.0 , 31.0
12.9 , 14.9
0.0 , 2.0
1.0 , 3.0
4.3 , 6.3
-5.6 , -3.6
7.87 , 9.87
-17 , -15
23.2 , 25.2
13.3 , 15.3
34.45 , 36.45
3.4 , 5.4
12.2 , 14.2
7.8,9.8
=======
2.2 , 4.2
3.1 , 5.1
1.2 , 3.2
44.2 , 46.2
21.7 , 23.7
34.2 , 36.2
21.4 , 23.4
6.44 , 8.44
8.9 , 10.9
14.2 , 16.2
26.8 , 28.8
34.7 , 36.7
1.2 , 3.2
2.7 , 4.7
17.0 , 19.0
29.0 , 31.0
12.9 , 14.9
0.0 , 2.0
1.0 , 3.0
4.3 , 6.3
-5.6 , -3.6
7.87 , 9.87
-17 , -15
23.2 , 25.2
13.3 , 15.3
34.45 , 36.45
3.4 , 5.4
12.2 , 14.2
7.8,9.8
>>>>>>> 509ea09ef4d39942801ac79255abba91eb8369d1
71.1,73.1
